product_name,description,price,availability,,
Echo Dot (5th Gen),Our best-sounding Echo Dot yet. Enjoy improved audio for music, podcasts, and audiobooks. Comes with a built-in smart home hub.,49.99,In Stock
Fire TV Stick 4K Max,Stream in stunning 4K Ultra HD. Supports Wi-Fi 6E for smoother streaming and less interference. Includes Alexa Voice Remote.,54.99,In Stock,,
Kindle Paperwhite,"Waterproof e-reader with a 6.8"" display and adjustable warm light. Store thousands of books and enjoy weeks of battery life.",139.99,In Stock,,
Amazon Basics 6-Piece Towel Set,Made from 100% cotton for a soft and absorbent feel. Includes two bath towels, two hand towels, and two washcloths.,34.99,In Stock
Ring Video Doorbell,See, hear, and speak to visitors from anywhere. Get real-time notifications on your phone when someone is at your door.,99.99,In Stock
Echo Show 8 (2nd Gen),"Smart display with Alexa and an 8"" HD touchscreen. Manage your smart home", make video calls, and watch shows.,129.99,In Stock
Blink Mini Indoor Camera,1080p HD plug-in smart security camera with motion detection and two-way audio. Simple to set up and use.,34.99,In Stock,,
Amazon Essentials Men's V-Neck T-Shirt,Made of 100% cotton for a soft feel and comfortable fit. Available in multiple colors and sizes.,9.99,In Stock,,
Blink Video Doorbell,Answer your door from anywhere with 1080p HD video and two-way audio. Long-lasting battery life.,59.99,Out of Stock,,
Fire TV Stick Lite,Stream in Full HD with the included Alexa Voice Remote Lite. Access thousands of channels and apps.,29.99,In Stock,,
